mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.10639867782592774,0.014093826459348906,0.0060004711151123045,0.0037951870929450447,relu,10.0,"(30,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30,), 'MLP__learning_rate_init': 1e-06}",0.5050276439587442,0.5087338445476474,0.46947294524246674,0.4996201893653023,0.4747668934730172,0.4915268482365161,0.01619289817288811,3360,0.4883536739028692,0.4868006136707714,0.49496939742063967,0.4885469711812218,0.4948665117647218,0.49070743358804475,0.0034909394530101825
0.2831998825073242,0.02504727516055204,0.0068012714385986325,0.003710160674219778,relu,10.0,"(30,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30,), 'MLP__learning_rate_init': 0.001}",0.9028958798107493,0.9253231090470533,0.9272077618173309,0.9178510998307953,0.9114933218130107,0.916951584943499,0.008983833540570519,2526,0.9240581236274615,0.9168744619586191,0.9182635869785215,0.9214419104213388,0.9221793138437542,0.9205634793659391,0.002626535936117747
0.17779903411865233,0.04874476554174341,0.009001731872558594,0.004558961249377251,relu,10.0,"(30,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30,), 'MLP__learning_rate_init': 0.002}",0.9024647849375451,0.9287072038017065,0.9280537855059942,0.9119037333045324,0.9102116859272058,0.9162656372152312,0.010392023890684743,2547,0.9261124311480721,0.9186693949918636,0.9162399441921215,0.9172003227573626,0.9213275555447611,0.9199099297268362,0.003544866062992746
0.10679965019226074,0.007626718113360663,0.005600643157958984,0.0014965806765320732,relu,10.0,"(30,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30,), 'MLP__learning_rate_init': 0.004}",0.9075570931272698,0.9297710335889404,0.9299636389818915,0.9178510998307953,0.9110577096158693,0.9192379131778597,0.009287794698085482,2355,0.9187452748676963,0.9190438313134012,0.9190009904009369,0.9207588171320472,0.9212189352785133,0.919753569798519,0.0010241661316377983
0.10840029716491699,0.02309841725200414,0.010400152206420899,0.008355824961789762,relu,10.0,"(30,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30,), 'MLP__learning_rate_init': 0.008}",0.9035263560628105,0.9274003672102819,0.9301562443748426,0.9178006984195558,0.9184541167152681,0.9194645521840501,0.009330190787440983,2342,0.9235554595528674,0.9157882592961407,0.9150623250943849,0.923002399091098,0.9237883780363075,0.9202393642141597,0.003945641093035826
0.09720025062561036,0.010778382499660163,0.0063992500305175785,0.003499727228628307,relu,10.0,"(30,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30,), 'MLP__learning_rate_init': 0.016}",0.9056333322555961,0.9308096626705548,0.9367318284911977,0.923991071750009,0.9146596104690932,0.9223619477596174,0.011134010052327743,1874,0.9258212729956439,0.9208930744797698,0.9201442018366944,0.9241429118867003,0.9264209015077304,0.9234844725413078,0.0025451737112909653
0.09680027961730957,0.020213335716483448,0.0067996025085449215,0.003059461546943615,relu,10.0,"(30,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30,), 'MLP__learning_rate_init': 0.032}",0.8986495953096878,0.9318986931634086,0.9259009252259063,0.9124815494833856,0.9141987975663318,0.9166225242272336,0.011538434316872025,2534,0.9153778305792563,0.9212789800219671,0.9163512630985245,0.9207615157722026,0.9261807225339153,0.9199900624011731,0.0038754164823937816
0.1582005500793457,0.042668511830738144,0.009998703002929687,0.004147585600709345,relu,10.0,"(30,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30,), 'MLP__learning_rate_init': 0.064}",0.8999105478138101,0.9196439500306007,0.9331299276379739,0.9121215394031033,0.9078662202541671,0.914531680923669,0.011279417838638766,2631,0.9214151996255895,0.9172833059421359,0.9193639575018148,0.9241972220198243,0.9197755001254868,0.9204070370429702,0.0023076587160758967
0.14979929924011232,0.09263921267229895,0.015999317169189453,0.017192316533326604,relu,10.0,"(30,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30,), 'MLP__learning_rate_init': 0.128}",0.8946350243029735,0.9261439320300968,0.9218886128811606,0.9005868164308601,0.8956528782805918,0.9077789751318229,0.013474999285967746,2739,0.9186552723476257,0.9116552918984123,0.9120411974406096,0.9130471155584702,0.908216549680616,0.9127230853851469,0.0033825982873068585
0.058800125122070314,0.006674396762791875,0.008799600601196288,0.0007487245128773652,relu,10.0,"(15,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15,), 'MLP__learning_rate_init': 1e-06}",0.4295483203466003,0.4093548619361342,0.4323739064693811,0.420939986319617,0.43300212405947364,0.425044688767161,0.008947444513960593,3382,0.42344025632717713,0.42996860132179393,0.4233775100726743,0.4256497650833745,0.4243807295503796,0.42536337247107986,0.002445312486115786
0.24780116081237794,0.05498119324078391,0.011199045181274413,0.0037615595562702038,relu,10.0,"(15,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15,), 'MLP__learning_rate_init': 0.001}",0.8996788343194628,0.9258757245202865,0.9216204053713505,0.8952676674946898,0.9010476293336214,0.9086963523929767,0.012507912169155299,2720,0.9199765093422617,0.9167199648097325,0.9034234274349153,0.9074707130077154,0.9186235181092248,0.91324282654077,0.006574537395223501
