,0,1,2,3,4
147,1.0,1.0,1.0,1.0,1.0
154,1.0,1.0,1.0,1.0,1.0
161,1.0,1.0,1.0,1.0,1.0
169,1.0,1.0,1.0,1.0,1.0
176,1.0,1.0,1.0,1.0,1.0
184,1.0,1.0,1.0,1.0,1.0
191,1.0,1.0,1.0,1.0,1.0
198,1.0,1.0,1.0,1.0,1.0
206,1.0,1.0,1.0,1.0,1.0
213,1.0,1.0,1.0,1.0,1.0
220,1.0,1.0,1.0,1.0,1.0
228,1.0,1.0,1.0,1.0,1.0
235,1.0,1.0,1.0,1.0,1.0
242,1.0,1.0,1.0,1.0,1.0
250,1.0,1.0,1.0,1.0,1.0
257,1.0,1.0,1.0,1.0,1.0
264,1.0,1.0,1.0,1.0,1.0
272,1.0,1.0,1.0,1.0,1.0
279,1.0,1.0,1.0,1.0,1.0
287,1.0,1.0,1.0,1.0,1.0
294,1.0,1.0,1.0,1.0,1.0
433,1.0,1.0,1.0,1.0,1.0
573,1.0,0.9977375565610859,0.9977375565610859,0.9977375565610859,0.9977375565610859
712,1.0,1.0,1.0,1.0,1.0
852,1.0,1.0,1.0,1.0,1.0
991,1.0,1.0,1.0,1.0,1.0
1131,1.0,1.0,1.0,1.0,1.0
1270,1.0,1.0,1.0,1.0,1.0
1410,1.0,1.0,1.0,1.0,1.0
1549,1.0,1.0,1.0,1.0,1.0
1688,0.9987505033517302,0.9984662576687116,0.9976993865030674,0.9977099236641221,0.9977099236641221
1828,0.9965402682743106,0.9942337804571842,0.9967251153559347,1.0,1.0
1967,0.9887052468425334,0.9932745576477449,0.997586820741832,1.0,1.0
2107,0.9909363869435792,0.9946233938052167,0.9975031210986266,0.9987515605493135,0.9987515605493135
2246,0.9873810147585361,0.992593861469942,0.9923713414347421,0.9948868952151831,0.9968147740836608
2386,0.9834407637893418,0.9939361118513993,0.9918244965194908,0.9939361118513993,0.9921094400355178
2525,0.9941175072491326,0.9941175072491326,0.9894402322891415,0.9968039116266051,0.9893022478912815
2665,0.9883027487637724,0.9916713724403848,0.9874601489037027,0.9928075652267592,0.9892115550893369
2804,0.98319355527102,0.9883258642765684,0.9799829278702517,0.9884005548442168,0.9907302789754336
2944,0.984007267666615,0.9868950054120921,0.9873047781042213,0.9890289160352559,0.9918953919901036
