,0,1,2,3,4
212,1.0,1.0,1.0,1.0,1.0
222,1.0,1.0,1.0,1.0,1.0
233,1.0,1.0,1.0,1.0,1.0
244,1.0,1.0,1.0,1.0,1.0
254,1.0,1.0,1.0,1.0,1.0
265,1.0,1.0,1.0,1.0,1.0
275,1.0,1.0,1.0,1.0,1.0
286,1.0,1.0,1.0,1.0,1.0
297,1.0,1.0,1.0,1.0,1.0
307,1.0,1.0,1.0,1.0,1.0
318,1.0,1.0,1.0,1.0,1.0
328,1.0,1.0,1.0,1.0,1.0
339,1.0,1.0,1.0,1.0,1.0
350,1.0,1.0,1.0,1.0,1.0
360,1.0,1.0,1.0,1.0,1.0
371,1.0,1.0,1.0,1.0,1.0
381,1.0,1.0,1.0,1.0,1.0
392,1.0,1.0,1.0,1.0,1.0
403,1.0,1.0,1.0,1.0,1.0
413,1.0,1.0,1.0,1.0,1.0
424,1.0,1.0,1.0,1.0,1.0
625,0.996268656716418,1.0,1.0,1.0,1.0
826,0.997245179063361,0.9964627623178576,0.9964627623178576,0.9964627623178576,0.9964627623178576
1027,0.9978213507625272,0.9971470367476983,0.9971470367476983,0.9971470367476983,0.9971470367476983
1228,0.9972477064220184,0.9967010087713408,0.9959679155900086,0.9959679155900086,0.9959679155900086
1429,0.9976415094339625,0.9971675150246581,0.9965332583983035,0.9965332583983035,0.9965332583983035
1630,0.9957222655393387,0.9969634024512072,0.9964142598836926,0.9964142598836926,0.9964142598836926
1831,0.9960601017419006,0.9969341362256805,0.9963159739851551,0.9963159739851551,0.9963159739851551
2032,0.9964500771850437,0.9971227458235624,0.9961248527679624,0.9961248527679624,0.9961248527679624
2233,0.9949511095926071,0.9959667908863626,0.995164866267277,0.9959689540810938,0.9959689540810938
2434,0.9955659004147099,0.9959299895040545,0.995201657384608,0.9963014134311872,0.9963014134311872
2635,0.9947954713606054,0.9947953060314407,0.9944579241151114,0.9959002159590598,0.9959002159590598
2836,0.9934179383094329,0.9944477984434639,0.9942237400821968,0.9951610075743378,0.9951610075743378
3037,0.9934777419687266,0.9940639084400044,0.9938533993691774,0.9954832398694673,0.9954832398694673
3238,0.9929008798063225,0.9938033730860109,0.9932545256655939,0.9950584351956937,0.995136671823218
3439,0.9926410608189364,0.9940816651051946,0.9938247277978975,0.9948524770270857,0.9950197972710032
3640,0.992186136771433,0.9933024029469426,0.9929189164490099,0.9937213094292904,0.994245684186526
3841,0.9917131776887975,0.992433543628091,0.9926018032812146,0.9932345311182676,0.9934895811831022
4042,0.9914134550585852,0.9919162933930572,0.9916363381858903,0.9928028182157521,0.9934331899372237
4244,0.9905533354933941,0.9911897107700837,0.9909781153405449,0.9923561291692791,0.993212909961479
