,0,1,2,3,4
147,1.0,1.0,1.0,1.0,1.0
154,1.0,1.0,1.0,1.0,1.0
161,1.0,1.0,1.0,1.0,1.0
169,1.0,1.0,1.0,1.0,1.0
176,1.0,1.0,1.0,1.0,1.0
184,1.0,1.0,1.0,1.0,1.0
191,1.0,1.0,1.0,1.0,1.0
198,1.0,1.0,1.0,1.0,1.0
206,1.0,1.0,1.0,1.0,1.0
213,1.0,1.0,1.0,1.0,1.0
220,1.0,1.0,1.0,1.0,1.0
228,1.0,1.0,1.0,1.0,1.0
235,1.0,1.0,1.0,1.0,1.0
242,1.0,1.0,1.0,1.0,1.0
250,1.0,1.0,1.0,1.0,1.0
257,1.0,1.0,1.0,1.0,1.0
264,1.0,1.0,1.0,1.0,1.0
272,1.0,1.0,1.0,1.0,1.0
279,1.0,1.0,1.0,1.0,1.0
287,1.0,1.0,1.0,1.0,1.0
294,1.0,1.0,1.0,1.0,1.0
433,1.0,1.0,1.0,1.0,1.0
573,1.0,1.0,1.0,1.0,1.0
712,1.0,1.0,1.0,1.0,1.0
852,1.0,1.0,1.0,1.0,1.0
991,1.0,1.0,1.0,1.0,1.0
1131,1.0,1.0,1.0,1.0,1.0
1270,1.0,1.0,1.0,1.0,1.0
1410,1.0,1.0,1.0,1.0,1.0
1549,1.0,1.0,1.0,1.0,1.0
1688,0.9995173745173745,0.9995173745173745,1.0,1.0,1.0
1828,0.9991079393398752,0.9995539696699375,0.9995539696699375,1.0,1.0
1967,0.9991789819376027,0.9995894909688012,0.9995894909688012,1.0,1.0
2107,0.9992343032159265,0.9996171516079633,0.999617151607963,1.0,1.0
2246,0.9992795389048992,0.9996397694524495,0.9996397694524498,1.0,1.0
2386,0.9993192648059905,0.9996596324029953,0.9996596324029953,1.0,0.9996577686516085
2525,0.9993523316062178,0.9996761658031089,0.9996761658031089,1.0,0.9993523316062178
2665,0.9989037618961367,0.9996924969249693,0.9992112649711674,0.9995187680461982,0.9992076065018488
2804,0.9989586000853607,0.999706572769953,0.9990909090909091,0.999706572769953,0.9994202898550726
2944,0.9990084274006494,0.9995689655172414,0.9992886964589454,0.9995689655172414,0.9994394618834079
